typewstr2,wallinsy,count,countsamp,conf,WallType_Lvl,WallType
9 inch solid,cavity uninsulated,21679,9,2408.777778,B0,B
9 inch solid,solid with insulation,114977,82,1402.158537,B2,B
9 inch solid,solid uninsulated,4211119,1799,2340.811006,B1,B
9 inch solid,other,11271,6,1878.5,B0,B
concrete panels,solid with insulation,76745,93,825.2150538,C2,C
concrete panels,solid uninsulated,121915,123,991.1788618,C1,C
greater than 9 inch solid,cavity with insulation,1366,1,1366,B0,B
greater than 9 inch solid,cavity uninsulated,12261,6,2043.5,B0,B
greater than 9 inch solid,solid with insulation,54770,39,1404.358974,B2,B
greater than 9 inch solid,solid uninsulated,1351611,614,2201.320847,B1,B
greater than 9 inch solid,other,6078,3,2026,B0,B
in situ concrete,cavity with insulation,3800,1,3800,C0,C
in situ concrete,solid with insulation,81241,88,923.1931818,C2,C
in situ concrete,solid uninsulated,137106,121,1133.107438,C1,C
masonry cavity,cavity with insulation,9534126,5462,1745.537532,A2,A
masonry cavity,cavity uninsulated,6230399,3355,1857.048882,A1,A
masonry cavity,solid with insulation,6669,4,1667.25,A0,A
masonry cavity,solid uninsulated,40266,18,2237,A0,A
masonry cavity,other,447358,249,1796.618474,A0,A
masonry single leaf,solid with insulation,6400,8,800,C2,C
masonry single leaf,solid uninsulated,30337,19,1596.684211,C1,C
mixed types,cavity with insulation,39047,23,1697.695652,D2,D
mixed types,cavity uninsulated,95883,57,1682.157895,D1,D
mixed types,solid with insulation,15462,13,1189.384615,D4,D
mixed types,solid uninsulated,277212,117,2369.333333,D3,D
mixed types,other,1750,1,1750,D0,D
timber/metal/plastic panels,cavity with insulation,2020,1,2020,C0,C
timber/metal/plastic panels,cavity uninsulated,5184,4,1296,C0,C
timber/metal/plastic panels,solid with insulation,92754,52,1783.730769,C2,C
timber/metal/plastic panels,solid uninsulated,218888,128,1710.0625,C1,C
timber/metal/plastic panels,other,4087,2,2043.5,C0,C
